epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,13370.5,0.947,0.57576,1.04861,0.80765,0.80687,0.85254,0.59696,1.06575,0.66322,1.14425,0.000453075,0.000453075,0.000453075
143,13463.9,0.9494,0.57423,1.04707,0.8108,0.80276,0.85138,0.59578,1.06564,0.66304,1.14494,0.00044565,0.00044565,0.00044565
144,13556.8,0.94364,0.57561,1.04612,0.81352,0.80111,0.85196,0.59757,1.06561,0.66276,1.14501,0.000438225,0.000438225,0.000438225
145,13649.8,0.93946,0.57055,1.04086,0.82581,0.79029,0.8522,0.59844,1.06564,0.66278,1.145,0.0004308,0.0004308,0.0004308
146,13743.4,0.94304,0.57259,1.0424,0.82635,0.78713,0.8525,0.59899,1.06539,0.66227,1.14498,0.000423375,0.000423375,0.000423375
147,13836.8,0.93694,0.56578,1.03876,0.83775,0.78002,0.85297,0.59899,1.06582,0.66216,1.14571,0.00041595,0.00041595,0.00041595
148,13930.6,0.93976,0.5706,1.042,0.84186,0.77754,0.85349,0.60021,1.0665,0.66153,1.14647,0.000408525,0.000408525,0.000408525
149,14024.1,0.93855,0.57082,1.04167,0.84078,0.77862,0.85378,0.60046,1.06658,0.66122,1.14691,0.0004011,0.0004011,0.0004011
150,14117.7,0.93709,0.56987,1.04062,0.8394,0.77999,0.85327,0.59915,1.06651,0.6607,1.14733,0.000393675,0.000393675,0.000393675
151,14211.6,0.93507,0.56886,1.03859,0.83735,0.78263,0.85225,0.59731,1.0668,0.66014,1.14783,0.00038625,0.00038625,0.00038625
152,14306.4,0.93136,0.56558,1.04151,0.84012,0.78678,0.85203,0.59586,1.06761,0.6612,1.14883,0.000378825,0.000378825,0.000378825
153,14401.1,0.93432,0.56391,1.03729,0.84494,0.78222,0.85317,0.59554,1.06781,0.66069,1.1488,0.0003714,0.0003714,0.0003714
154,14495.2,0.93021,0.56144,1.03407,0.84835,0.78063,0.85204,0.5943,1.06819,0.66039,1.14953,0.000363975,0.000363975,0.000363975
155,14589.1,0.92419,0.56164,1.03537,0.85098,0.78071,0.85213,0.59476,1.06845,0.66134,1.15017,0.00035655,0.00035655,0.00035655
156,14682.3,0.92532,0.55801,1.03377,0.84879,0.77832,0.85216,0.5957,1.06904,0.66137,1.15093,0.000349125,0.000349125,0.000349125
157,14775.7,0.92432,0.55688,1.03617,0.84654,0.77812,0.85201,0.59535,1.06932,0.66126,1.15133,0.0003417,0.0003417,0.0003417
158,14868.8,0.92164,0.55567,1.03464,0.84513,0.78165,0.85241,0.59679,1.06923,0.66177,1.15123,0.000334275,0.000334275,0.000334275
159,14961.9,0.92041,0.5522,1.02912,0.84842,0.77829,0.85255,0.59699,1.06918,0.66194,1.15125,0.00032685,0.00032685,0.00032685
160,15055.8,0.92132,0.55114,1.03306,0.8476,0.77665,0.85231,0.59807,1.06903,0.66192,1.15107,0.000319425,0.000319425,0.000319425
161,15150.4,0.92133,0.55135,1.03257,0.83404,0.78172,0.85136,0.59777,1.06895,0.66212,1.15127,0.000312,0.000312,0.000312
162,15244,0.91722,0.55307,1.03472,0.84595,0.77402,0.85127,0.59735,1.06879,0.6621,1.15137,0.000304575,0.000304575,0.000304575
163,15338.5,0.91903,0.5495,1.03065,0.84571,0.77438,0.85146,0.59767,1.069,0.66217,1.15158,0.00029715,0.00029715,0.00029715
164,15432.3,0.91952,0.55353,1.03398,0.83501,0.78422,0.85212,0.59853,1.06876,0.66306,1.15173,0.000289725,0.000289725,0.000289725
165,15526.4,0.91778,0.54878,1.0324,0.83727,0.78343,0.85204,0.59819,1.06845,0.66344,1.15176,0.0002823,0.0002823,0.0002823
166,15620.2,0.90948,0.54722,1.03086,0.83579,0.78356,0.85197,0.59742,1.06834,0.66281,1.15192,0.000274875,0.000274875,0.000274875
167,15714.9,0.91829,0.54717,1.03014,0.84575,0.77637,0.85271,0.5966,1.06793,0.6631,1.15149,0.00026745,0.00026745,0.00026745
168,15808.8,0.91355,0.54814,1.02989,0.84533,0.77785,0.85279,0.5982,1.06792,0.66309,1.15178,0.000260025,0.000260025,0.000260025
169,15901.7,0.91303,0.54802,1.0273,0.84247,0.78078,0.85291,0.59866,1.06779,0.66286,1.15172,0.0002526,0.0002526,0.0002526
170,15994.8,0.90099,0.54255,1.02672,0.83622,0.7897,0.85333,0.59893,1.06791,0.66298,1.15184,0.000245175,0.000245175,0.000245175
171,16087.9,0.90759,0.54572,1.03009,0.83759,0.78818,0.85337,0.59896,1.06758,0.6627,1.1517,0.00023775,0.00023775,0.00023775
172,16181.8,0.90928,0.5484,1.02888,0.8407,0.78811,0.85334,0.59953,1.06763,0.66297,1.15181,0.000230325,0.000230325,0.000230325
173,16276.2,0.89687,0.53798,1.0219,0.84303,0.78826,0.85347,0.59975,1.06773,0.66325,1.15192,0.0002229,0.0002229,0.0002229
174,16369.5,0.90614,0.54289,1.02665,0.84392,0.78719,0.85389,0.60006,1.068,0.66326,1.15218,0.000215475,0.000215475,0.000215475
175,16463.9,0.90421,0.54186,1.02612,0.84371,0.78659,0.85372,0.60027,1.06799,0.66287,1.15204,0.00020805,0.00020805,0.00020805
176,16558.8,0.89778,0.53832,1.02286,0.84712,0.78399,0.85405,0.60043,1.0679,0.6631,1.15229,0.000200625,0.000200625,0.000200625
177,16652.7,0.90037,0.53825,1.02472,0.8486,0.78393,0.85414,0.60002,1.06804,0.66325,1.15254,0.0001932,0.0001932,0.0001932
178,16747,0.89162,0.52916,1.0196,0.85183,0.78582,0.85444,0.60077,1.06771,0.66313,1.15253,0.000185775,0.000185775,0.000185775
